=== Kill-loop crash recovery test: 100 iterations ===
[run 1] OK: 3 confirmed entries all present
[run 2] OK: 7 confirmed entries all present
[run 3] OK: 11 confirmed entries all present
[run 4] OK: 15 confirmed entries all present
[run 5] OK: 17 confirmed entries all present
[run 6] OK: 21 confirmed entries all present
[run 7] OK: 23 confirmed entries all present
[run 8] OK: 27 confirmed entries all present
[run 9] OK: 31 confirmed entries all present
[run 10] OK: 33 confirmed entries all present
[run 11] OK: 35 confirmed entries all present
[run 12] OK: 37 confirmed entries all present
[run 13] OK: 41 confirmed entries all present
[run 14] OK: 44 confirmed entries all present
[run 15] OK: 47 confirmed entries all present
[run 16] OK: 51 confirmed entries all present
[run 17] OK: 54 confirmed entries all present
[run 18] OK: 57 confirmed entries all present
[run 19] OK: 58 confirmed entries all present
[run 20] OK: 59 confirmed entries all present
[run 21] OK: 61 confirmed entries all present
[run 22] OK: 63 confirmed entries all present
[run 23] OK: 67 confirmed entries all present
[run 24] OK: 70 confirmed entries all present
[run 25] OK: 72 confirmed entries all present
[run 26] OK: 76 confirmed entries all present
[run 27] OK: 77 confirmed entries all present
[run 28] OK: 78 confirmed entries all present
[run 29] OK: 81 confirmed entries all present
[run 30] OK: 82 confirmed entries all present
[run 31] OK: 85 confirmed entries all present
[run 32] OK: 86 confirmed entries all present
[run 33] OK: 88 confirmed entries all present
[run 34] OK: 90 confirmed entries all present
[run 35] OK: 91 confirmed entries all present
[run 36] OK: 92 confirmed entries all present
[run 37] OK: 94 confirmed entries all present
[run 38] OK: 96 confirmed entries all present
[run 39] OK: 99 confirmed entries all present
[run 40] OK: 102 confirmed entries all present
[run 41] OK: 105 confirmed entries all present
[run 42] OK: 106 confirmed entries all present
[run 43] OK: 108 confirmed entries all present
[run 44] OK: 109 confirmed entries all present
[run 45] OK: 113 confirmed entries all present
[run 46] OK: 114 confirmed entries all present
[run 47] OK: 116 confirmed entries all present
[run 48] OK: 118 confirmed entries all present
[run 49] OK: 119 confirmed entries all present
[run 50] OK: 121 confirmed entries all present
[run 51] OK: 122 confirmed entries all present
[run 52] OK: 124 confirmed entries all present
[run 53] OK: 125 confirmed entries all present
[run 54] OK: 127 confirmed entries all present
[run 55] OK: 130 confirmed entries all present
[run 56] OK: 134 confirmed entries all present
[run 57] OK: 137 confirmed entries all present
[run 58] OK: 138 confirmed entries all present
[run 59] OK: 141 confirmed entries all present
[run 60] OK: 145 confirmed entries all present
[run 61] OK: 147 confirmed entries all present
[run 62] OK: 151 confirmed entries all present
[run 63] OK: 152 confirmed entries all present
[run 64] OK: 154 confirmed entries all present
[run 65] OK: 157 confirmed entries all present
[run 66] OK: 159 confirmed entries all present
[run 67] OK: 161 confirmed entries all present
[run 68] OK: 164 confirmed entries all present
[run 69] OK: 166 confirmed entries all present
[run 70] OK: 170 confirmed entries all present
[run 71] OK: 174 confirmed entries all present
[run 72] OK: 178 confirmed entries all present
[run 73] OK: 182 confirmed entries all present
[run 74] OK: 186 confirmed entries all present
[run 75] OK: 189 confirmed entries all present
[run 76] OK: 192 confirmed entries all present
[run 77] OK: 195 confirmed entries all present
[run 78] OK: 198 confirmed entries all present
[run 79] OK: 199 confirmed entries all present
[run 80] OK: 203 confirmed entries all present
[run 81] OK: 206 confirmed entries all present
[run 82] OK: 208 confirmed entries all present
[run 83] OK: 210 confirmed entries all present
[run 84] OK: 214 confirmed entries all present
[run 85] OK: 217 confirmed entries all present
[run 86] OK: 220 confirmed entries all present
[run 87] OK: 222 confirmed entries all present
[run 88] OK: 225 confirmed entries all present
[run 89] OK: 231 confirmed entries all present
[run 90] OK: 234 confirmed entries all present
[run 91] OK: 238 confirmed entries all present
[run 92] OK: 246 confirmed entries all present
[run 93] OK: 249 confirmed entries all present
[run 94] OK: 252 confirmed entries all present
[run 95] OK: 256 confirmed entries all present
[run 96] OK: 260 confirmed entries all present
[run 97] OK: 263 confirmed entries all present
[run 98] OK: 266 confirmed entries all present
[run 99] OK: 269 confirmed entries all present
[run 100] OK: 273 confirmed entries all present
=== Done: 0 failures out of 100 runs ===
